name,lat,lon
Detected_Lake_1,12.905337296047897,77.73916474197331
Detected_Lake_2,12.847675873611157,77.63045906286476
Detected_Lake_3,12.939926483039711,77.7635516309954
Detected_Lake_4,12.992352773650794,77.74870667604277
Detected_Lake_5,13.125955559457887,77.47624268680254
Detected_Lake_6,12.852691103395204,77.6121465501355
Detected_Lake_7,12.929490418658618,77.73869811259397
Detected_Lake_8,13.048371542766546,77.75617604639275
Detected_Lake_9,13.005246337307131,77.76887866184093
Detected_Lake_10,13.042725412630277,77.70527411749408
Detected_Lake_11,12.97499821024369,77.49695321721526
Detected_Lake_12,12.877655924326453,77.64469318236331
Detected_Lake_13,12.860972867446554,77.69215151970671
Detected_Lake_14,12.922168168445294,77.55235437454623
Detected_Lake_15,13.00638561119574,77.6400983427069
Detected_Lake_16,12.913320274059066,77.54471304646619
Detected_Lake_17,13.092759643551794,77.69143968766757
Detected_Lake_18,12.958337394855208,77.68345478461764
Detected_Lake_19,13.062431038340218,77.50186896557707
Detected_Lake_20,12.844699878580391,77.60839332729611
Detected_Lake_21,12.961334162915977,77.61202476957345
Detected_Lake_22,12.979949044418907,77.48020761060256
Detected_Lake_23,13.070109934809098,77.55965205709465
Detected_Lake_24,12.878889603444312,77.77804906118094
Detected_Lake_25,13.099384646284612,77.53292056958695
