Lake_Name,Year,Lake_Area_sqm,Rainfall_mm,Green_Cover_sqm,Encroachment_sqm,Flood_Area_sqm
Lake_1,2010,507491.1835450272,562.9901931770687,176636.68140269964,0.0,0.0
Lake_1,2011,507837.26396635437,898.1077256275846,176541.7165997764,1899.2960584648145,284.89440876972213
Lake_1,2012,505811.5716528589,783.8506623645594,176437.8303856921,3977.0203401509975,596.5530510226496
Lake_1,2013,505223.8050192455,703.4523771141307,176424.56072802344,4242.413493524291,636.3620240286436
Lake_1,2014,502892.8423051829,720.2543718112353,176252.06267891286,7692.37447573599,1153.8561713603985
Lake_1,2015,502707.420951265,844.9547891880261,176194.28243314128,8847.979391167086,1327.1969086750628
Lake_1,2016,503912.8288519682,702.6372608067693,176331.21068618482,6109.414330296411,916.4121495444616
Lake_1,2017,492973.31438848085,881.65640257008,175485.8813881631,23016.000290730546,3452.4000436095816
Lake_1,2018,483522.52031485154,701.8777333373722,174875.03133620127,35233.001329967374,5284.950199495106
Lake_1,2019,485776.1296912357,905.2717190032067,174963.36272534807,33466.37354703164,5441.693552311283
Lake_1,2020,493985.2243273464,814.4662436695895,175582.15715483227,21090.48495734769,3163.5727436021534
Lake_1,2021,474434.844208212,966.336964162027,174131.46188900393,50104.390273914316,12822.615674049308
Lake_1,2022,480009.6739058421,702.1831743325141,174624.00464948805,40253.53506423183,6038.030259634775
Lake_1,2023,471463.3994174547,820.8162458457057,173971.18751763424,53309.87770130808,7996.481655196212
Lake_1,2024,491392.9401596706,822.1328131610321,175394.25593946563,24848.50926468058,3727.276389702087
Lake_1,2025,478784.62529432215,598.2958213331314,174573.60380330784,41261.5519878362,6189.232798175431
Lake_2,2010,514926.3512324556,673.7192125046688,179045.21430947626,0.0,0.0
Lake_2,2011,514018.6769573399,905.4574686558776,178897.61676977115,2951.950794102396,879.3901115855689
Lake_2,2012,508489.5291107154,720.756932704717,178568.6421149948,9531.443889629214,1429.716583444382
Lake_2,2013,507697.93597348715,363.1974091155731,178639.7995779032,8108.294631461276,1216.2441947191915
Lake_2,2014,501738.92905215785,664.2447812296576,178106.6393077675,18771.50003417523,2815.7250051262845
Lake_2,2015,499386.88675731263,550.5914872485273,177979.22674884324,21319.751212660303,3197.9626818990455
Lake_2,2016,509846.9410914356,714.3927854924331,178667.87302333635,7546.825722798232,1132.0238584197348
Lake_2,2017,504727.1358894598,588.6096157388695,178347.09521239292,13962.381941666737,2094.3572912500103
Lake_2,2018,504244.1530015886,692.5116130952546,178275.48857848914,15394.51461974264,2309.177192961396
Lake_2,2019,502122.68813682656,992.7822813695602,178016.71584947957,20569.969199933556,10508.07788955485
Lake_2,2020,501016.5489378699,348.23126533570013,178167.90269813762,17546.232226772638,2631.9348340158954
Lake_2,2021,501591.079330217,606.187563320443,178116.813334025,18568.019509024944,2785.2029263537415
Lake_2,2022,501041.1136200945,871.760764917675,177982.68249701726,21250.63624918009,3187.5954373770132
Lake_2,2023,491642.1206157984,531.4460413681991,177432.8668265495,32246.94965853546,4837.042448780319
Lake_2,2024,481991.2500721028,819.1886876101036,176640.75369977055,48089.21219411417,7213.381829117125
Lake_2,2025,481309.77868583874,692.3755206437509,176637.36758895396,48156.93441044608,7223.5401615669125
